Fecha,Hora,Clase de sitio,Arma empleada,Movil Agresor,Movil Victima,Sexo,Estado civil,Escolaridad,MARCA,
11/30/2018, 12:50:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,FEMENINO,SOLTERO,TECNICO,MOTOROLA,
11/30/2018 , 12:45:00 PM,RESTAURANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,SOLTERO,SUPERIOR,MOTOROLA,
11/30/2018 , 12:30:00 PM,TIENDA,ARMA DE FUEGO,A PIE,A PIE,MASCULINO,SOLTERO,TECNICO,HUAWEI,
11/30/2018 , 12:30:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,PASAJERO MOTOCICLETA,CONDUCTOR VEHICULO,FEMENINO,SOLTERO,TECNOLOGO,SAMSUNG,
11/30/2018 , 12:30:00 PM,SECTOR RESIDENCIAS,ARMA DE FUEGO,A PIE,A PIE,FEMENINO,SOLTERO,SUPERIOR,SAMSUNG,
11/30/2018 , 12:10:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 12:09:00 PM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,CON PAREJA,SUPERIOR,IPHONE,
11/30/2018 , 12:00:00 PM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,CON PAREJA,TECNOLOGO,ASUS,
11/30/2018 , 12:00:00 PM,VIA PUBLICA,NO REPORTADO,CONDUCTOR MOTOCICLETA,A PIE,MASCULINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 12:00:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,CON PAREJA,SUPERIOR,ASUS,
11/30/2018 , 12:00:00 AM,CENTRO COMERCIAL,NO REPORTADO,A PIE,A PIE,FEMENINO,SOLTERO,TECNICO,SAMSUNG,
11/30/2018 , 12:00:00 AM,PELUQUERIA Y SIMILARES,NO REPORTADO,A PIE,A PIE,FEMENINO,-,SECUNDARIA,SAMSUNG,
11/30/2018 , 12:00:00 AM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,PASAJERO TAXI,A PIE,MASCULINO,SOLTERO,SECUNDARIA,HUAWEI,
11/30/2018 , 12:00:00 AM,TRANSPORTE PUBLICO,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,MASCULINO,CON PAREJA,TECNICO,MOTOROLA,
11/30/2018 , 12:00:00 AM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,FEMENINO,SOLTERO,TECNOLOGO,ALCATEL,
11/30/2018 , 12:00:00 AM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,MASCULINO,CON PAREJA,TECNICO,ALCATEL,
11/30/2018 , 12:00:00 AM,TRANSPORTE PUBLICO,NO REPORTADO,PASAJERO BUS,PASAJERO BUS,FEMENINO,CON PAREJA,SUPERIOR,HUAWEI,
11/30/2018 , 12:00:00 AM,VIA PUBLICA,NO REPORTADO,A PIE,A PIE,MASCULINO,CON PAREJA,TECNOLOGO,NO REPORTADO,
11/30/2018 , 12:00:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,SUPERIOR,SONY,
11/30/2018 , 12:00:00 AM,TRANSPORTE PUBLICO,NO REPORTADO,A PIE,A PIE,FEMENINO,CON PAREJA,SUPERIOR,MOTOROLA,
11/30/2018 , 12:00:00 AM,TRANSPORTE PUBLICO,NO REPORTADO,PASAJERO BUS,PASAJERO BUS,FEMENINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 12:00:00 AM,VIA PUBLICA,NO REPORTADO,A PIE,CONDUCTOR VEHICULO,FEMENINO,CON PAREJA,SUPERIOR,ASUS,
11/30/2018 , 11:55:00 AM,DISCOTECAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,SOLTERO,SECUNDARIA,IPHONE,
11/30/2018 , 11:30:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,MASCULINO,SOLTERO,SUPERIOR,IPHONE,
11/30/2018 , 11:30:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,PASAJERO MOTOCICLETA,A PIE,FEMENINO,CON PAREJA,SUPERIOR,ASUS,
11/30/2018 , 11:10:00 AM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,MASCULINO,CON PAREJA,SECUNDARIA,HUAWEI,
